"","threshold.value","Year","Fire_Name","Fire_ID","Country","Sky_Island","pc1","pc2","pland","clumpy","nndist.cv"
"1",450,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"2",460,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"3",470,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"4",480,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"5",490,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"6",500,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"7",510,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"8",520,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"9",530,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"10",540,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"11",550,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"12",560,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"13",570,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"14",580,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"15",590,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"16",600,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"17",610,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"18",620,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"19",630,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"20",640,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"21",650,1989,"ACONCHI-19890704-01","ACONCHI-19890704-01","MEX","ACONCHI",0.305433136986738,-4.43644530989907,0,NA,NA
"22",450,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"23",460,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"24",470,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"25",480,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"26",490,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"27",500,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"28",510,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"29",520,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"30",530,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"31",540,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"32",550,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"33",560,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"34",570,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"35",580,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"36",590,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"37",600,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"38",610,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"39",620,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"40",630,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"41",640,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"42",650,1989,"ACONCHI-19890704-03","ACONCHI-19890704-03","MEX","ACONCHI",-2.18036979436874,-2.9509387811025,0,NA,NA
"43",450,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0.0115942028985507,NA,106.232345393491
"44",460,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0.00869565217391304,-1,0
"45",470,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0.00289855072463768,-1,NA
"46",480,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0.00289855072463768,-1,NA
"47",490,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"48",500,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"49",510,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"50",520,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"51",530,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"52",540,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"53",550,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"54",560,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"55",570,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"56",580,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"57",590,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"58",600,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"59",610,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"60",620,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"61",630,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"62",640,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"63",650,2003,"ACONCHI-20030812","ACONCHI-20030812","MEX","ACONCHI",-0.18878840021013,-4.06209329234229,0,NA,NA
"64",450,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"65",460,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"66",470,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"67",480,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"68",490,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"69",500,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"70",510,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"71",520,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"72",530,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"73",540,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"74",550,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"75",560,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"76",570,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"77",580,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"78",590,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"79",600,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"80",610,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"81",620,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"82",630,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"83",640,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"84",650,2013,"ACONCHI-20130630","ACONCHI-20130630","MEX","ACONCHI",0.713538337570544,-4.71024337181678,0,NA,NA
"85",450,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"86",460,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"87",470,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"88",480,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"89",490,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"90",500,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"91",510,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"92",520,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"93",530,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"94",540,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"95",550,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"96",560,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"97",570,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"98",580,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"99",590,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"100",600,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"101",610,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"102",620,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"103",630,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"104",640,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"105",650,2017,"ACONCHI-20170513","ACONCHI-20170513","MEX","ACONCHI",-0.634981672279537,-3.81907680630684,0,NA,NA
"106",450,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"107",460,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"108",470,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"109",480,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"110",490,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"111",500,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"112",510,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"113",520,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"114",530,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"115",540,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"116",550,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"117",560,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"118",570,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"119",580,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"120",590,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
"121",600,2011,"ANIMAS_20110624","ANIMAS-20110624","US","ANIMAS",4.4889661342867,-0.516781476596671,0,NA,NA
